guid,noteid,Title,OccludedImage,Clinical,Comment,Origin,Insertion,Attachments,Innervation,Actions,Plate,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12a,13a,14a,15a,16a,17a,18a,19a,20a,tags
-z4|@BP~y#,1349477488592,"Muskeln des Oberschenkels: Anteriore Ansicht 9","<img src=""MSA-Muscles_of_Thigh-Anterior_View_924.jpg"">","<b>Clinical:</b> While lumped with the medial adductor groups of muscles, the obturator externus is really a lateral rotator of the thigh at the hip. Clinical examination of this lone muscle is difficult to separate from other muscles that are lateral rotators (some gluteal muscles).<br>","<div><b>Kommentar:</b></div><div>Alle Muskeln sind&nbsp;<strong>Adduktoren</strong>&nbsp;im Hüftgelenk und werden durch den&nbsp;<strong>N. obturatorius</strong>&nbsp;(L2–L4) innerviert.&nbsp;Es gibt nur 2 Ausnahmen:</div><div>Der&nbsp;<strong>M. pectineus</strong>&nbsp;erhält zusätzlich noch einen kleinen Ast des&nbsp;<strong>N. femoralis</strong>&nbsp;(L1–L4).</div><div>Der&nbsp;<strong>M. adductor magnus</strong>&nbsp;bekommt zusätzlich wenige direkte Äste des&nbsp;<strong>Tibialisanteils des N. ischiadicus</strong>&nbsp;(L4–S3).</div><br><img src=""ana_004000_oberschenkelmuskeln_adduktoren_lage.png""><br><div><img src=""ana_004000_oberschenkelmuskeln_adduktoren_verlauf.png""><br></div>","<b>Ursprung (proximal):</b>  Membrana obturatoria <br><br>","<b>Ansatz (distal):</b>  Fossa trochanterica  <br><br>",,"<b>Innervation:</b>  N. obturatorius&nbsp;(L2–L4) <br><br>","<b>Funktion:</b><div>Hüftgelenk</div><div>Adduktion</div><div>Außenrotation <br><br></div>","Atlas Plate 481","<div>Musculus obturatorius externus</div>",,,,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Lower_Limb::Upper_Leg DopeRanatomy::System::Musculoskeletal::Muscular::Lower_Limb::Upper_Leg Dufte::Untere_Extremitäten::Oberschenkel_Hüfte::Muskulatur"
OOPEvLKMO8,1349477488593,"Muskulatur des Ösophagus","<img src=""MSA-Musculature_of_Esophagus7.jpg"">","<b>Klinisch:&nbsp;</b><div><b>Ösophagusengen</b></div><div>Ösophagusmund (C6-C7, auf Höhe des Ringknorpels)</div><div>Aortenenge (Th3-Th4, 25cm von der vorderen Zahnreihe)</div><div>Zwerchfellenge (Th9-11)</div><div><b><br></b>Der&nbsp;<b>Ösophagusmund</b>&nbsp;ist die engste Stelle des Ösophagus&nbsp;und wird auch oberer Ösophagussphinkter genannt; es handelt sich dabei um einen Sphinktermechanismus, der durch einen Venenplexus verstärkt wird!<br></div>","<b>Comment:</b>  The oesophagus is a muscular canal that extends from the pharynx to the stomach.  Its muscular coat is organized into 2 planes:an external plane of longitudinal fibers and an internal plane of circular fibers.  The oesophageal muscle transitions from skeletal to smooth muscle as it descends from the pharynx to the stomach.  <br>",,,,,,"Atlas Plate 228","Muskulus constrictor pharyngis inferior","Musculus cricopharyngeus Teil des M. constrictor pharyngis inferior","<div>Killian-Dreieck;</div>Zirkuläre Muskelschicht mit vereinzelten longitudinalen Fasern","Längs angeordnete Ösophagusschicht (Stratum longitudinale)&nbsp;","Spiralig angeordnete Ösophagusschicht (Stratum circulare)&nbsp;",,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Head&Neck::Neck DopeRanatomy::System::Musculoskeletal::Muscular::Head&Neck::Neck DopeRanatomy::System::Otorhinolaryngological::Oesophagus Dufte::Abdomen"
",%Ag>S.cU5",1349477488594,"Nagel und Nagelbett","<img src=""MSA-Nails11.jpg"">",,"<b>Comment:</b><div>Nails are modifications of the stratum corneum on the dorsum of terminal phalanges of fingers  and toes. The eponychium is a superficial layer of epidermis that eventually degenerates during early development, except at the base, where it persists as the cuticle. The nail plate consists of keratin, which is intensely eosinophilic in hematoxylin and eosin sections. It is derived from germinative cells in the nail matrix. The nail bed, or hyponychium, underlies the nail plate. It is similar to the epidermis, except its dermal papillae are aligned parallel to the nail surface. This longitudinal orientation allows the nail plate to move outward.<br> Onychomycosis is a fungal infection of the nail plate that causes fingernails  and toenails to thicken, discolor, disfigure, and split. It is difficult to treat because nails grow slowly and receive very little blood supply.<div><br></div><div><img src=""1280px-Nail_anatomy_de.svg.png""><br></div></div><div>Quelle: Wikipedia (Creative Commons)</div>",,,,,,,<div>Unguis</div>,<div>Lunula</div>,<div>Hyponychium</div>,"<div>Os (phalanx distale)</div>","Nagel;<div>Unguis (kein sperater lateinischer Name)</div>",,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Lower_Limb::Lower_Leg DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Integumentary Dufte::Obere_Extremitäten::Unterarm_Hand"
*0Qa@VFh=q,1349477488595,"Nephron and Collecting Tubule: Schema","<img src=""MSA-Nephron_and_Collecting_Tubule-Schema24.jpg"">",,"<b>Comment:</b> Sodium is reabsorbed in the proximal convoluted tubule, proximal straight tubule, thick ascending limb of Henle, distal tubule, and collecting duct. Chloride follows sodium reabsorption in proximal convoluted tubule, proximal straight tubule, thick ascending limb of Henle, distal tubule, and collecting duct.<br> Water is reabsorbed with sodium movement in proximal convoluted tubule, proximal straight tubule, thick ascending limb of Henle, distal tubule, and collecting duct. In addition, solute-free water is reabsorbed in the thin descending limb of Henle, and in the presence of antidiuretic hormone (ADH), in the collecting ducts.",,,,,,,"Proximal convoluted tubule;<div>Pars convoluta des proximalen Tubulus</div>","Proximal straight tube;<div>Pars recta des proximalen Tubulus</div>","Thin descending limb of Henle;<div>Pars descendens des Intermediärtubulus<br></div>","Thick ascending limb of Henle;<div>Pars recta des distalen Tubulus</div>","Distal tubule;<div>Pars convoluta des distalen Tubulus</div>","Collecting duct;<div>Tubulus renalis colligens (Sammelrohr)</div>",,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Abdomen DopeRanatomy::Region::Abdomen::Renal DopeRanatomy::System::Renal Dufte::Abdomen::Niere"
28ONM3-k#|,1349477488596,"Nerves of Oesophagus and Posterior Thoracic Wall","<img src=""MSA-Nerves_of_Esophagus_and_Posterior_Thoracic_Wall10.jpg"" />","<b>Clinical:</b> A mass in the posterior mediastinum may present with pain, neurologic symptoms or difficlty swallowing. The most common masses include tumors of the peripheral nerves or their sheath cells, e.g., schwannomas, or tumors or diverticula of the oesophagus.<br>","<b>Kommentar:</b><div><div><div><b>Sympathische und parasympathische Innervation des Ösophagus</b></div></div><div><div><div>Der Ösophagus wird wie der übrige Gastrointestinaltrakt vom sog. „enterischen Nervensystem“ gesteuert. Dieses funktioniert weitgehend autonom, wird aber in seiner Grundaktivität vom vegetativen Nervensystem moduliert. Die sympathische Innervation des Ösophagus erfolgt über das Ganglion stellatum (Verschmelzung von Ganglion cervicale inferius und erstem Brustganglion) und die Ganglia thoracica II–V. Die parasympathische Innervation erfolgt für den oberen Ösophagus durch den N. laryngeus recurrens und für den unteren Ösophagus durch den N. vagus. Etwa unterhalb der Bifurcatio tracheae vereinigen sich der rechte und linke N. vagus zum Plexus oesophageus, der die Trunci vagales abgibt. Durch die Magendrehung während der Embryonalentwicklung liegt der linke N. vagus als Truncus vagalis anterior auf der Vorderseite des Ösophagus und der rechte N. vagus als Truncus vagalis posterior auf der Rückseite des Ösophagus.</div></div></div></div><div><div><br></div><div><img src=""paste-58c6a9cd689f1b0de9b3ce1a360e67c1bd3adee9.jpg""><br></div></div>",,,,,,"Atlas Plate 234;See also Plate 203","N. intercostalis 3.","Truncus sympathicus","Plexus coeliacus auf Truncus coeliacus","Truncus vagalis anterior (Magen)","N. splanchnicus major","Plexus cardiacus","N. larngeus recurrens sinister","Truncus sympathikus cervicalis","N. Vagus (HN X)",,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Thorax DopeRanatomy::System::Gastrointestinal DopeRanatomy::System::Nervous::PNS::Thorax Dufte::Thorax::Leitungsbahnen"
Pp<Jr.^{{!,1349477488597,"Nerven der Glutealregion und des Oberschenkels: Posteriore Ansicht","<img src=""MSA-Nerves_of_Gluteal_Region_and_Thigh-Posterior_View62.jpg"">","<b>Klinik:</b><div><div><b>N.- fibularis-communis-Läsion</b><br>Bei Schädigung des&nbsp;N. fibularis communis, bspw. durch Kompression des Nervs am&nbsp;Fibulaköpfchen&nbsp;durch einen Gips, kommt es zu einer&nbsp;<u>Schwäche der Fußheber, so dass der&nbsp;Fuß&nbsp;im&nbsp;Sprunggelenk&nbsp;nicht mehr angehoben bzw. aktiv proniert werden kann</u>.&nbsp;Man bezeichnet das resultierende Gangbild als ""Steppergang"".</div><div><br></div><div><div><u>Läsion des N.&nbsp;<b>P</b>eronaeus&nbsp;<b>P</b>rofundus</u>: Motorisch Ste<b>PP</b>ergang und sensibel Fli<b>P</b>-Flo<b>P</b>-Bereich!</div></div></div>","<b>Kommentar:</b>&nbsp;<div><b>Nerven des&nbsp;Plexus sacralis</b>:&nbsp;Gut&nbsp;Geht's&nbsp;Keinem&nbsp;Im&nbsp;Präpsaal!<br></div><div><br></div><div><div>Aus dem&nbsp;<strong>Plexus sacralis</strong>&nbsp;(L4–S4) gehen 5 große Äste hervor:</div><div>N. gluteus superior</div><div>N. gluteus inferior</div><div>N. cutaneus femoris posterior</div><div>N. ischiadicus</div><div>N. pudendus.</div><div><br></div><div>Die Nerven versorgen v.a. die&nbsp;<strong>Rückseite des Oberschenkels</strong>, überwiegend den&nbsp;<strong>Unterschenkel</strong>&nbsp;und den gesamten&nbsp;<strong>Fuß</strong>.</div><div><br></div><div>Der&nbsp;<strong>N. ischiadicus</strong>&nbsp;(L4–S3) ist der stärkste periphere Nerv des Menschen. Proximal des Kniegelenks teilen sich seine beiden Hauptäste in den lateralen N. fibularis communis und den medialen N. tibialis auf.</div><div><br></div><div>Der&nbsp;<strong>N. fibularis communis</strong>&nbsp;(L4–S2) zieht zu den Muskeln der Unterschenkelvorderseite (Extensoren, Fibularisgruppe) und teilt sich dort in den N. fibularis superficialis und profundus auf.</div><div><br></div><div>Der&nbsp;<strong>N. tibialis</strong>&nbsp;(L4–S3) zieht zu den Muskeln der Unterschenkelrückseite (Flexoren) und teilt sich schließlich am Malleolus medialis in den N. plantaris medialis und lateralis.<br><br><br><img src=""paste-2ec64e60a63da86b1de79ea806446aa2caa44b2e.jpg""><br><img src=""big_59d64afe6b74a.jpg""><br></div></div><div><img src=""paste-c1512d5b7f1b0b6d98a41b6c8587046ffeddefba.jpg""><br><br></div><div><img src=""paste-90eae1145be7a39e3e83643a2cd58da03af5b19b.jpg""><br></div>",,,,,,"Atlas Plate 490","<div>Arteria et nervus gluteus inferior (L5-S2)</div>","<div>Nervus pudendus (S1–S4)</div>","<div>Nervus cutaneus femoris posterior (S1-S3)</div>","<div>Nervus ischiadicus (L4-S3)</div>","<div>Nervus tibialis (L4-S3)</div>","<div>N. fibularis communis (Nervus peronaeus communis)&nbsp;(L4–S2)</div>","<div>Arteria et nervus gluteus superior&nbsp;(L4–S1)</div>",,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Lower_Limb::Upper_Leg DopeRanatomy::System::Nervous::PNS::Lower_Limb::Upper_Leg Dufte::Untere_Extremitäten::Oberschenkel_Hüfte::Leitungsbahnen"
6WU}a}th`$,1349477488598,"Nerven der Hand","<img src=""MSA-Nerves_of_Hand59.jpg"">","<b>Klinik:</b><div><div><b>Allen-Test&nbsp;</b><div></div><br>Die&nbsp;Arterien&nbsp;im Bereich des&nbsp;Handgelenks&nbsp;eignen sich besonders gut für eine&nbsp;arterielle Punktion. Um die Blutversorgung der Hand dabei nicht zu gefährden, sollte zuvor unbedingt die&nbsp;Durchlässigkeit der&nbsp;Anastomosen&nbsp;geprüft werden. Dies geschieht bspw. über den sog.&nbsp;Allen-Test: Zunächst werden die&nbsp;A. radialis&nbsp;und&nbsp;A. ulnaris&nbsp;abgedrückt und die Hand durch wiederholten Faustschluss „leer gepumpt“ bis sie sich weiß färbt. Dann wird eines der beiden Gefäße losgelassen und die Durchblutung der Hand anhand ihrer Färbung beurteilt. Färbt sich die gesamte Hand zügig rosig, ist der&nbsp;Allen-Test&nbsp;unauffällig und die&nbsp;Anastomosen&nbsp;sind intakt. Bleibt sie zumindest teilweise blass, ist der&nbsp;Allen-Test&nbsp;pathologisch; auf eine Punktion sollte verzichtet werden.</div><div><br></div><div><b>Leitungsanästhesie nach Oberst</b><br>Bei kleineren operativen Eingriffen am Finger kann eine&nbsp;lokale Anästhesie&nbsp;des entsprechenden Fingers ausreichend sein. Hierfür eignet sich bspw. die sog.&nbsp;Leitungsanästhesie nach Oberst: Der Finger wird distal des&nbsp;Fingergrundgelenks&nbsp;punktiert, die Kanüle nach&nbsp;palmar&nbsp;vorgeschoben. Durch die Injektion eines&nbsp;Lokalanästhetikums&nbsp;wie&nbsp;Lidocain&nbsp;ins dortige Gewebe werden sowohl die dorsalen als auch die&nbsp;palmaren&nbsp;Nerven blockiert und der gesamte Finger betäubt. Da die Muskeln, die den Finger bewegen, proximal der Einstichstelle sitzen, kann der Finger weiterhin bewegt werden. Das Verfahren kann auch bei Eingriffen an den&nbsp;Zehen&nbsp;angewendet werden.</div></div>","<b>Comment:</b>  The median and ulnar nerves innervate intrinsic muscles on the anterior (palmar) side of the hand.  The median nerve innervates muscles that act on the thumb; these muscles form the thenar eminence and lumbricals of digits 2 and 3.  All the other intrinsic muscles of the palmar hand are innervated by branches of the ulnar nerve.  <br><br>Sensation of the skin over the surface of the hand can vary depending on the branching of the radial, median, and ulnar sensory branches.  One tests radial sensation reliably only over the dorsal web space between the thumb and index finger.  Median sensation is tested reliably on the palmar (volar) aspect of the tip of the index finger.  Ulnar sensation is tested reliably on the palmar aspect of the tip of the little finger.<br>",,,,,,"Atlas Plate 453","<div>Ramus nervus medianus</div>","<div>Ramus profundus nervus ulnaris</div>","<div>Ramus profundus des Nervus ulnaris</div>","<div>Nervus medianus</div>","<div>Nervus ulnaris</div>",,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Upper_Limb::Hand/Wrist/Forearm DopeRanatomy::System::Nervous::PNS::Upper_Limb::Hand/Wrist/Forearm Dufte::Obere_Extremitäten::Unterarm_Hand::Leitungsbahnen"
ViFc>d>PG],1349477488599,"Nerven des Herzens","<img src=""MSA-Nerves_of_Heart9.jpg"">","<b>Clinical:&nbsp;</b>Pain sensation from myocardial ischaemia, called angina pectoris, is conveyed to the upper 4 thoracic spinal cord levels via the sympathetic pathways, accounting for referred pain over the T1-4 dermatome regions, primarily on the left side.<br><br>","<b>Comment:</b>&nbsp;Sympathetic to heart: cardiac plexus arise from cardiac nerves that originate largely from the cervical portions of the sympathetic trunk (although their preganglionic fibers arise from neurons in the upper 4 thoracic spinal cord levels), but also send direct thoracic cardiac branches medially toward the heart.  <br><br>The parasympathetic contributions come from the vagus nerve (CN X).  Together, the parasympathetic and sympathetic branches form a rich cardiac plexus around the great vessels arising from the heart and around the bifurcation of the trachea.&nbsp;<div><br><div><div><div><b>Vordere und hintere Skalenuslücke</b></div></div><div><div><div>Die vordere Skalenuslücke wird durch den M. sternocleidomastoideus sowie den M. scalenus anterior begrenzt, wohingegen die hintere Skalenuslücke durch die Mm. scalenus anterior und medius begrenzt wird. Der Boden beider Skalenuslücken wird durch die 1. Rippe gebildet.</div></div></div></div><div><img src=""paste-af017f0ddfd79d348be1abcd338711246c491bbc.jpg""><br></div></div>",,,,,,"Atlas Plate 220;See also Plates 129, 203","Ganglion cervicale superius","Nervus vagus (HN X)","Nervus phrenicus","Nervus cardiacus cervicalis superior (sympathisch)","Plexus cardiacus","Nervus laryngeus recurrens","Ganglion cervicale medium","Nervus Vagus (HN X)",,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Thorax DopeRanatomy::System::Cardiovascular::Heart Dufte::Thorax::Herz_Herzbeutel"
?E0p@5SF:x,1349477488600,"Nerven der Nieren, Harnleiter, und der Harnblase","<img src=""MSA-Nerves_of_Kidney_Ureters_and_Urinary_Bladder10.jpg"">","Merke: <b>Cannon-Böhm-Punkt</b><div>Der Nervus vagus versorgt die abdominellen Organe bis etwa zur linken Kolonflexur, danach (aboral davon) übernimmt der <b>sakrale Parasympathikus</b>. Diese Grenze im linken Drittel des Colon transversum wird als&nbsp;<strong>Cannon-Böhm-Punkt</strong>&nbsp;bezeichnet.</div>","<b>Kommentar:</b>&nbsp;<div>Die vegetative Innervation der Bauch- und Beckenorgane erfolgt durch&nbsp;<strong>Sympathikus</strong>&nbsp;und&nbsp;<strong>Parasympathikus</strong>&nbsp;sowie durch das&nbsp;<strong>enterische Nervensystem</strong>.<div><br><div>Die&nbsp;<strong>sympathischen</strong>&nbsp;Nervenfasern haben ihren Ursprung in den Rückenmarkssegmenten&nbsp;<strong>Th5–L2</strong>. Die präganglionären Fasern aus den Rückenmarksegmenten Th5–12 ziehen ohne Umschaltung durch die Grenzstrangganglien (<strong>Truncus sympathicus</strong>) und laufen weiter als&nbsp;<strong>Nn. splanchnici thoracici</strong>&nbsp;(N. splanchnicus major und minor) zu den prävertrebralen Ganglien. Dort werden sie auf das 2. Neuron umgeschaltet. Fasern aus den Rückenmarksegmenten L1–2 bilden die&nbsp;<strong>Nn. splanchnici lumbales</strong>.</div><div><br></div><div>Die&nbsp;<strong>prävertebralen Ganglien</strong>&nbsp;befinden sich an der Vorderseite der Aorta und sind nach den Arterien benannt, auf denen sie liegen:</div><div><ul><li>Ganglia coeliaca (im Plexus coeliacus)<br></li><li>Ganglion mesentericum superius (im Plexus mesentericus superior)<br></li><li>Ganglia aorticorenalia (an den Abgängen der Aa. renales)<br></li><li>Ganglion mesentericum inferius (im Plexus mesentericus inferior).<br></li></ul></div><div>Die&nbsp;<strong>parasympathische</strong>&nbsp;Versorgung erfolgt durch Fasern des&nbsp;<strong>N. vagus</strong>&nbsp;(Ursprung: Hirnstamm) oder aus dem Sakralmark (<strong>S2–4</strong>). Die Umschaltung auf das 2. efferente Neuron erfolgt im Gegensatz zum Sympathikus in organnahen Ganglien<br><br><img src=""ana_013400_steckbrief.png""><br><br><img src=""ana_013400_plexus_extraperitonealraum.png""><br></div></div></div>",,,,,,"Atlas Plate 319","N. splanchnicus major&nbsp;","Ganglia coeliaca","Ganglion&nbsp;mesentericum superius","Ganglion mesentericum inferius","Grenzstrangganglien (Truncus sympathicus)","Plexus hypogastricus superior","Nn splanchnici plevici&nbsp;<br><br><strong>Nur</strong>&nbsp;die&nbsp;<strong>Nn. splanchnici pelvici </strong>gehören&nbsp;zum&nbsp;<strong>Parasympathikus</strong>. <br>Alle anderen Nn. splanchnici (thoracici, lumbales, sacrales) sind Teil des Sympathikus.<br>","Plexus hypogastrici inferiores",,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Abdomen DopeRanatomy::System::Nervous::PNS::Abdomen DopeRanatomy::System::Renal Dufte::Abdomen::Leitungsbahnen"
%@Th3?D4tj,1349477488601,"Nerven der Nasenhöhle","<img src=""MSA-Nerves_of_Nasal_Cavity62.jpg"">","<b>Clinical:</b>  Facial fractures may involve a fracture of the cribriform plate, which transmits the axons of the olfacotry bipolar neurons. As a brain tract, CN I is covered by the 3 meningeal layers and contains CSF in its subarachnoid space around the olfactory bulb. A tear of the meninges can cause a leakage of CSF into the nasal cavity and provide a route of infection from the nose to the brain.<br>","<b>Comment:</b>  Vessels of the nasal cavity receive innervation from sympathetic and parasympathetic divisions of the autonomic nervous system.  <br><br>Sympathetic contributions arise in the deep petrosal nerve as postganglionic fibers that are largely vasomotor in function.  <br><br>Parasympathetic fibers arise in the facial nerve as preganglionics, course to the pterygopalatine ganglion in the greater petrosal and vidian nerves, and synapse in the pterygopalatine ganglion.  Postganglionic fibers pass to the nasal mucosa, hard and soft palates, and the mucosa of the paranasal sinuses.<br>",,,,,,"Atlas Plate 42","<div>Bulbus olfactorius</div>","<div>Rami nasales mediales des Nervus ethmoidalis anterior</div>","<div>Nervi palatini (major et minor)</div>","<div>Nervus nasopalatinum</div>","<div>Nervi&nbsp;canalis pterygoidei (Vidi-Nerv)</div>","<div>Nervus petrosus profunda</div>","<div>Nervus petrosus major</div>","<div>Ganglion pterygopalatinum</div>",,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Head&Neck::Nasal DopeRanatomy::System::Otorhinolaryngological Dufte::Kopf_und_Hals::Nase"
X=.=).<8k),1349477488602,"Nerven der Orbita","<img src=""MSA-Nerves_of_Orbit60.jpg"">","<b>Klinisch:</b><div><b>Cornealreflex&nbsp;(Lidschlussreflex)<br></b>Für den sog.&nbsp;Cornealreflex&nbsp;führt der Untersucher einen Wattebausch vom Lidrand an die&nbsp;Cornea&nbsp;heran; bei Berührung der&nbsp;Cornea&nbsp;erfolgt ein Lidschluss. Die&nbsp;Afferenz&nbsp;dieses Reflexes verläuft über den&nbsp;N. trigeminus.<div><br></div><div>The ophthalmic division of the trigeminal nerve (CN V1) is the smallest division of CN V. In addition to its sensory role and, similar to the other 2 divisions of the trigeminal nerve, this division carries autonomic fibers to the eyeball via its nasociliary nerve and connections to the ciliary ganglion (long and short ciliary nerves). Additionally, it carries parasympathetics from the facial nerve (CN VII) that join the lacrimal branch and innervate the lacrimal glands, which produce tears that moisten the corneas of the eyeball. Orbital trauma or infections in this confined compartment may affect these important autonomic pathways.<br></div></div>","<b>Comment:</b>  The sensory innervation to the orbit arises from the ophthalmic division of the trigeminal nerve.  The major nerves of this division include the nasociliary, frontal, and lacrimal nerves.  The sensory nerve cell bodies reside in the trigeminal (semilunar) ganglion.  <br><br>The motor innervation of the extraocular muscles comes from the oculomotor, trochlear, and abducent nerves.  <br><br>The optic nerve leaves the orbit via the optic canal.  CN III, CN IV, CN VI, and CN V traverse the superior orbital fissure.  <br><br>",,,,,,"Atlas Plate 86","<div>Nervus trochlearis (IV)</div>","<div>Nervus ophthalmicus (V1)</div>","<div>Chiasma opticum (II)</div>","<div>Nervus occulomotorius (III)</div>","<div>Nervus abducens (VI)</div>","<div>Ganglion semilunaris (trigeminalis)</div>","<div>Nervus frontalis</div>","<div>Nervus lacrimalis</div>","<div>Nervus supraorbitalis</div>",,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Head&Neck::Eye DopeRanatomy::System::Ophthalmological Dufte::Kopf_und_Hals::Auge::Leitungsbahnen"
;c/i>9k=rh,1349477488603,"Nerves of Pelvic Viscera: Female","<img src=""MSA-Nerves_of_Pelvic_Viscera-Female9.jpg"">","<b>Clinical:</b> Pain afferents from the ovaries, uterine tubes, and the fundus and body of the uterus follow sympathetic fibers back to the spinal cord (T11 or T12 to L1-2 levels). Pain fibers from the uterine cervix and vagina (subperitoneal structures) travel back to the spinal cord via the pelvic splanchnic nerves (S2-4). Cell bodies for these pain afferents reside in the dorsal root ganglia of the respective spinal cord levels. Therefore, pain from the pelvic and perineal viscera are felt over the dermatome areas T11 to L2 and S2-4 and are largely confined to the hypogastric region, pelvis, perineum, and occasionally radiate into the upper part of the lower limb.<br>","<b>Comment:</b>  The female pelvic viscera are innervated largely by the lower portion of the parasympathetic division of the autonomic nervous system.  These parasympathetic preganglionic fibers arise as the pelvic splanchnic nerves from the nerve roots of S2, S3, and S4.  Many of these preganglionic parasympathetic fibers synapse in the inferior hypogastric (pelvic) plexus, adjacent to the rectum, uterus, ovary, and uterine tubes.  Postganglionic parasympathetics from the inferior hypogastric plexus course to the respective pelvic viscera.  <br /><br />Pain afferents from the ovaries, uterine tubes, and the fundus and body of the uterus follow sympathetic fibers back to the spinal cord (T11 or T12 to L1-2 levels).  Pain fibers from the uterine cervix and vagina (subperitoneal structures) travel back to the spinal cord via the pelvic splanchnic nerves (S2-4).  Cell bodies for these pain afferents reside in the dorsal root ganglia of the respective spinal cord levels.<br />",,,,,,"Atlas Plate 392;See also Plate  297","Sympathetic trunk and L2 ganglion;<div>Truncus sympatheticus et ganglion L2</div>","Lumbar splanchnic nerves;<div>Nervi splanchnici lumborum</div>","Sacral splanchnic nerves (sympathetic);<div>Nervi splanchnici sacralis</div>","Pudendal nerve;<div>Nervus pudendalis</div>","Pelvic splanchnic nerves (parasympathetic);<div><div>Nervi splanchnici pelvici <u>or</u>&nbsp;nervi erigentes</div></div>","Inferior hypogastric (pelvic) plexus;<div>(Nervi) Plexus hypogastricus inferior</div>","Superior hypogastric plexus;<div>(Nervi) Plexus hypogastricus superior</div>",,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Pelvic DopeRanatomy::System::Nervous::PNS::Pelvic Dufte::Becken_Beckenboden::Becken"
8FZEuM1+MP,1349477488604,"Nerves of Perineum and External Genitalia: Female","<img src=""MSA-Nerves_of_Perineum_and_External_Genitalia-Female10.jpg"" />","<b>Clinical:</b> In some cases it is necessary to achieve a local anesthesia of the perineal area and the pudendal nerve may be blocked selectively by infiltrating a local anesthetic into the region of the pudendal canal, thus numbing the S2-4 somatic region (skin and skeletal muscle) of the perineum.<br>","<b>Comment:</b>  The pudendal nerve (somatic nerve) innervates the skin and skeletal muscle of the female perineum and external genitalia.  It arises from the ventral rami of S2, S3, and S4 spinal cord levels.  After emerging from the pudendal (Alcocks) canal, the pudendal nerve divides into inferior anal (rectal) nerves, the perineal nerve, and the dorsal nerve of the clitoris.  <br><br>Parasympathetic fibers arise from the S2-4 levels; travel in pelvic splanchnic nerves to the inferior hypogastric plexus and uterovaginal plexus; and stimulate vaginal secretions, erection of the clitoris, and engorgement of the bulbs of the vestibule (vasodilation of the arteries supplying the erectile tissue of the clitoris and vestibular bulb).<br>",,,,,,"Atlas Plate 393;See also Plate 395","Dorsal nerve of clitoris;<div>Arteria clitora dorsal</div>","Posterior labial nerves;<div>Nervi labii posterior</div>","Branches of perineal nerve (Superficial; Deep);<div>Rami nervus perineus (superficial; profundus)</div>","Pudendal nerve in pudendal (Alcock's) canal (dissected);<div>Nervus pudendus in canalis pudendalis</div>","Perineal nerve;<div>Nervus perinealis</div>","Inferior anal (rectal) nerves;<div>Nervi anales inferiores&nbsp;<u>or</u>&nbsp;nervi anales inferioris <u>or</u>&nbsp;nervi haemorrhoidalis inferior</div>",,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Pelvic DopeRanatomy::System::Nervous::PNS::Pelvic DopeRanatomy::System::Reproductive::Female Dufte::Becken_Beckenboden::Beckenboden"
